rank,TypeName,Company,recommendation_score,Price,Ram_GB,Total_Storage_GB,Weight_kg,kategori
1,Dell Inspiron 15 3535,Dell,86.73894495525295,1239.0,48.0,2000.0,1.66,Sangat Tinggi
2,Dell Inspiron 15 3535,Dell,81.84222300107997,1409.0,48.0,4000.0,1.66,Sangat Tinggi
3,HP 250 G10 / 255 G10,HP,80.02127072540281,1099.0,32.0,2000.0,1.52,Sangat Tinggi
4,Dell Inspiron 15 3535,Dell,79.59757381748993,839.0,16.0,2000.0,1.66,Sangat Tinggi
5,Dell Inspiron 15 3535,Dell,79.59757381748993,939.0,24.0,2000.0,1.66,Sangat Tinggi
6,Dell Inspiron 15 3535,Dell,79.59757381748993,1269.0,32.0,4000.0,1.66,Sangat Tinggi
7,Dell Inspiron 15 3535,Dell,79.59757381748993,1039.0,32.0,2000.0,1.66,Sangat Tinggi
8,Dell Inspiron 15 3535,Dell,79.59757381748993,889.0,16.0,2000.0,1.66,Sangat Tinggi
9,Dell Inspiron 15 3535,Dell,79.59757381748993,889.0,24.0,2000.0,1.66,Sangat Tinggi
10,Lenovo ThinkPad E14 Gen 5,Lenovo,78.59496423209578,1628.8,12.0,2000.0,1.41,Sangat Tinggi
11,Dell 15,Dell,78.38891344646228,1976.8,32.0,2000.0,1.9,Sangat Tinggi
12,Dell 15,Dell,78.38891344646228,1976.8,32.0,2000.0,1.9,Sangat Tinggi
13,Dell 16,Dell,78.38891344646228,1988.8,32.0,2000.0,1.9,Sangat Tinggi
14,ASUS Vivobook 16,ASUS,78.1170116095368,1668.8,16.0,2000.0,1.88,Sangat Tinggi
15,Lenovo IdeaPad 5 2-in-1,Lenovo,78.05152487190641,1668.8,16.0,2000.0,1.9,Sangat Tinggi
16,Dell 15,Dell,77.73784705348525,1656.8,16.0,2000.0,1.9,Sangat Tinggi
17,Dell 16,Dell,77.71823381546456,1988.8,32.0,2000.0,1.88,Sangat Tinggi
18,HP 14,HP,77.44653400883028,1608.8,16.0,2000.0,1.4,Sangat Tinggi
19,HP 14,HP,77.15406173062696,1621.6,16.0,2064.0,1.46,Sangat Tinggi
20,HP OmniBook 5,HP,76.52799445426469,1668.8,16.0,2000.0,1.8,Sangat Tinggi
21,Acer Aspire 5,Acer,76.50202317066064,1656.8,16.0,2000.0,1.77,Sangat Tinggi
22,HP ENVY x360 15,HP,76.50202317066064,1656.8,16.0,2000.0,1.77,Sangat Tinggi
23,Lenovo IdeaPad Slim 5,Lenovo,76.40509081983281,1668.8,16.0,2000.0,1.79,Sangat Tinggi
24,Lenovo IdeaPad 3i,Lenovo,76.30947380808286,1656.8,16.0,2000.0,1.65,Sangat Tinggi
25,Lenovo IdeaPad Slim 3,Lenovo,76.30947380808286,1656.8,16.0,2000.0,1.62,Sangat Tinggi
26,HP 15,HP,76.30947380808286,1656.8,16.0,2000.0,1.7,Sangat Tinggi
27,HP 250 G9 / 255 G9,HP,76.30947380808286,1656.8,16.0,2000.0,1.74,Sangat Tinggi
28,HP 15,HP,76.30947380808286,1656.8,16.0,2000.0,1.6,Sangat Tinggi
29,Lenovo V15 Gen 4,Lenovo,76.30947380808286,1656.8,16.0,2000.0,1.65,Sangat Tinggi
30,HP 15,HP,76.30947380808286,1656.8,16.0,2000.0,1.6,Sangat Tinggi
31,Dell Inspiron 15 3530,Dell,76.30947380808286,1656.8,16.0,2000.0,1.65,Sangat Tinggi
32,Samsung Galaxy Book2 Pro 360,Samsung,76.30947380808286,1656.8,16.0,2000.0,1.41,Sangat Tinggi
33,HP 15,HP,76.30947380808286,1656.8,16.0,2000.0,1.59,Sangat Tinggi
34,HP 15,HP,76.30947380808286,1656.8,16.0,2000.0,1.59,Sangat Tinggi
35,HP 15,HP,76.30947380808286,1656.8,16.0,2000.0,1.75,Sangat Tinggi
36,Lenovo ThinkPad E16 Gen 1,Lenovo,76.19023224222765,1668.8,16.0,2000.0,1.77,Sangat Tinggi
37,Lenovo ThinkBook 16 Gen 6,Lenovo,76.00861254401455,1668.8,16.0,2000.0,1.7,Sangat Tinggi
38,Dell 15,Dell,75.89945400996167,1736.8,20.0,2000.0,1.9,Sangat Tinggi
39,Acer Aspire 5,Acer,75.8927471656125,1976.8,32.0,2000.0,1.77,Sangat Tinggi
40,HP 250 G10 / 255 G10,HP,75.72206435085019,1976.8,32.0,2000.0,1.52,Sangat Tinggi
41,HP 15,HP,75.72206435085019,1976.8,32.0,2000.0,1.75,Sangat Tinggi
